player,start_x,start_y,end_x,end_y,is_box
Eriksen,81.8,61.7,107.9,37.9,1
Eriksen,47.5,44.0,107.6,14.5,0
Eriksen,67.7,12.3,82.1,10.1,0
Eriksen,80.9,16.5,108.2,68.6,0
Eriksen,77.1,20.9,108.8,15.6,0
Eriksen,46.4,28.0,88.1,11.5,0
Eriksen,15.3,12.6,51.4,18.6,0
Eriksen,72.1,43.5,82.1,39.9,0
Eriksen,49.0,27.2,88.9,75.2,0
Eriksen,15.5,3.2,44.8,6.0,0
Eriksen,120.0,0.1,113.9,52.3,1
Eriksen,44.7,10.7,62.6,8.5,0
Eriksen,74.1,38.3,100.0,5.5,0
Eriksen,63.2,25.6,94.7,64.8,0
Eriksen,56.8,39.8,81.4,5.8,0
Eriksen,52.7,59.8,69.4,52.2,0
Eriksen,113.8,19.8,117.6,33.5,1
Eriksen,120.0,0.1,116.6,51.6,1
Eriksen,108.3,58.3,109.3,50.9,1
Eriksen,64.2,21.5,100.4,68.5,0
Eriksen,56.8,56.1,78.8,70.7,0
Eriksen,34.0,52.0,49.0,73.6,0
Eriksen,46.8,46.9,62.1,71.6,0
Eriksen,74.0,48.4,84.9,37.8,0
Eriksen,47.9,24.2,79.3,77.0,0
Eriksen,120.0,80.0,108.4,26.4,1
Eriksen,60.1,31.4,78.5,40.7,0
Eriksen,72.5,45.7,82.9,66.8,0
Eriksen,49.2,47.2,65.1,70.1,0
Eriksen,120.0,80.0,112.2,43.9,1
Eriksen,63.6,32.6,104.4,2.5,0
Eriksen,74.1,19.4,87.8,2.9,0
Eriksen,71.6,44.3,82.6,45.1,0
Eriksen,54.8,36.4,83.9,68.5,0
Modrić,54.4,66.5,77.3,77.1,0
Modrić,58.5,70.9,84.3,58.5,0
Modrić,49.3,50.2,79.2,47.4,0
Modrić,65.3,62.2,88.0,73.3,0
Modrić,53.7,37.4,83.1,2.7,0
Modrić,33.4,48.9,62.3,2.5,0
Modrić,64.0,60.0,93.1,4.6,0
Modrić,45.8,18.1,64.7,13.8,0
Modrić,68.5,48.9,93.2,2.8,0
Modrić,43.8,66.4,66.8,76.6,0
Modrić,48.6,73.4,73.1,77.2,0
Modrić,55.4,66.2,91.1,75.4,0
Modrić,74.7,27.3,82.3,29.9,0
Modrić,76.3,22.1,81.5,7.8,0
Modrić,72.5,25.3,88.7,25.3,0
Modrić,28.5,45.5,44.8,40.7,0
Modrić,75.6,34.5,80.5,4.6,0
Modrić,44.9,64.4,67.1,76.2,0
Modrić,40.4,77.6,63.0,73.8,0
Modrić,68.5,77.4,81.8,59.1,0
Modrić,77.7,26.2,83.8,15.7,0
Modrić,50.4,53.9,69.3,76.0,0
Modrić,93.2,49.2,110.1,63.9,0
Modrić,69.4,14.0,82.4,3.7,0
Modrić,77.2,60.3,80.0,56.9,0
Modrić,67.8,63.9,98.3,57.8,0
Modrić,27.6,53.0,44.7,61.0,0
Modrić,91.8,5.4,112.7,40.1,1
Modrić,58.9,35.0,76.7,27.8,0
Modrić,63.4,55.9,79.1,29.4,0
Modrić,79.1,56.9,84.9,74.4,0
Modrić,32.4,66.3,49.2,65.5,0
Modrić,79.3,63.4,82.9,54.5,0
Modrić,68.2,55.7,94.2,74.5,0
Modrić,55.7,22.5,70.7,4.7,0
Modrić,60.8,58.6,88.5,76.4,0
Modrić,74.7,25.8,88.2,50.9,0
Modrić,85.3,62.2,101.5,69.2,0
Modrić,68.3,58.3,84.9,74.9,0
Modrić,40.1,51.3,68.7,58.3,0
Modrić,57.2,56.9,76.4,70.1,0
Modrić,11.0,51.8,26.4,3.7,0
Modrić,79.1,8.7,83.7,3.0,0
Modrić,72.8,65.1,80.8,54.2,0
Modrić,56.9,49.0,80.0,77.0,0
Modrić,97.1,74.8,116.3,71.8,0
Modrić,120.0,80.0,111.9,41.4,1
Modrić,43.9,54.2,64.0,63.7,0
Modrić,74.8,30.6,82.7,17.3,0
Modrić,77.3,29.0,81.6,17.3,0
Modrić,69.7,32.8,95.4,73.7,0
Modrić,68.8,61.8,101.1,75.9,0
Modrić,55.0,20.5,71.3,6.4,0
Modrić,69.4,56.4,104.4,22.7,1
Modrić,71.1,65.6,82.5,61.5,0
Modrić,77.2,14.8,82.4,11.9,0
Modrić,50.0,24.9,82.4,5.8,0
Modrić,64.5,29.5,83.2,74.0,0
Modrić,74.0,61.8,88.4,77.0,0
Modrić,84.0,26.5,99.0,8.3,0
Pedri,77.5,14.5,98.2,38.6,0
Pedri,62.1,19.6,80.9,3.8,0
Pedri,70.4,20.5,99.1,73.1,0
Pedri,63.4,8.5,117.1,7.8,0
Pedri,74.1,50.0,80.3,56.0,0
Pedri,72.6,15.1,86.5,26.0,0
Pedri,74.3,16.8,85.6,2.3,0
Pedri,76.2,15.8,93.3,3.8,0
Pedri,73.4,11.9,88.4,4.4,0
Pedri,68.1,61.3,117.7,57.9,1
Pedri,70.2,57.0,82.0,50.2,0
Pedri,73.2,60.9,85.8,59.6,0
Pedri,69.2,57.9,86.0,76.1,0
Pedri,73.4,74.0,85.2,78.0,0
Pedri,84.7,58.1,100.1,58.6,0
Pedri,79.2,66.5,88.4,59.2,0
Pedri,60.6,14.1,76.4,5.1,0
Pedri,81.3,23.7,102.7,6.8,0
Pedri,76.2,20.1,93.5,2.9,0
Pedri,91.4,27.3,109.1,60.7,1
Pedri,62.7,16.6,80.3,8.9,0
Pedri,51.8,16.9,71.7,29.3,0
Pedri,69.8,11.3,82.6,6.2,0
Pedri,64.4,27.1,94.2,5.5,0
Pedri,77.9,21.6,91.6,9.2,0
Pedri,79.6,18.1,100.4,28.4,0
Pedri,69.6,19.6,83.0,5.3,0
Pedri,75.4,7.8,80.9,17.3,0
Pedri,66.6,3.8,81.6,1.9,0
Pedri,61.9,20.9,81.3,2.7,0
Pedri,77.7,11.9,83.3,13.4,0
Pedri,79.6,10.0,86.9,2.3,0
Pedri,79.4,55.3,86.7,42.9,0
Modrić,55.4,59.0,72.1,76.9,0
Modrić,50.8,59.5,117.8,73.1,0
Modrić,71.4,31.7,118.4,22.8,1
Modrić,71.7,50.6,83.6,75.9,0
Modrić,69.4,58.8,85.6,77.2,0
Modrić,106.6,69.5,112.4,50.9,1
Modrić,120.0,80.0,114.7,61.5,1
Modrić,51.3,55.4,73.1,75.7,0
Modrić,68.3,28.6,83.0,25.3,0
Modrić,74.0,33.3,81.3,66.4,0
Modrić,81.3,8.3,100.0,5.7,0
Modrić,120.0,0.1,116.8,24.1,1
Modrić,73.6,53.4,81.1,55.1,0
Modrić,68.8,57.4,81.4,74.0,0
Modrić,62.6,61.9,81.4,74.3,0
Modrić,51.6,71.7,71.0,73.8,0
Pedri,78.7,22.8,88.4,41.9,0
Kimmich,50.0,71.4,66.7,70.7,0
Pedri,58.3,71.2,76.3,73.2,0
Pedri,40.5,4.4,56.5,1.6,0
Pedri,93.4,10.4,112.5,8.1,0
Kimmich,79.9,41.4,109.4,60.3,1
Pedri,51.4,23.5,70.1,1.2,0
Pedri,74.7,13.9,90.4,2.4,0
Pedri,49.1,14.4,73.3,5.9,0
Pedri,49.1,34.5,71.8,4.5,0
Pedri,3.5,68.1,30.5,76.7,0
Kimmich,43.1,61.9,80.6,4.5,0
Pedri,44.4,34.8,65.3,3.2,0
Kimmich,65.3,33.9,83.3,2.4,0
Pedri,93.4,52.5,102.8,58.5,1
Kimmich,71.0,21.0,89.4,6.7,0
Pedri,42.8,29.2,73.9,5.4,0
Kimmich,45.1,49.9,62.0,35.9,0
Kimmich,120.0,0.1,110.5,50.6,1
Kimmich,74.2,43.7,92.2,65.7,0
Kimmich,86.6,54.1,110.5,27.6,1
Kimmich,44.5,33.4,60.1,23.7,0
Kimmich,98.4,38.8,105.7,50.2,1
Kimmich,70.0,33.1,92.9,56.7,0
Kimmich,70.4,62.9,112.1,52.3,1
Kimmich,74.3,20.8,81.8,32.1,0
Kimmich,27.5,42.3,47.0,39.0,0
Kimmich,56.2,54.8,85.2,78.5,0
Kimmich,47.1,68.6,63.1,56.2,0
Kimmich,93.7,49.4,111.5,44.0,1
Kimmich,120.0,0.1,115.5,39.4,1
Kimmich,77.5,24.3,87.5,4.2,0
Kimmich,51.8,65.8,72.3,77.2,0
Kimmich,63.4,57.7,100.8,27.3,0
Modrić,55.3,44.7,102.0,18.4,1
Modrić,101.1,73.8,111.9,58.4,1
Modrić,23.3,32.0,47.6,11.5,0
Modrić,41.6,75.0,65.9,34.3,0
Modrić,64.2,57.2,79.4,64.7,0
Modrić,70.7,47.8,87.6,61.0,0
Modrić,75.6,74.9,80.7,61.5,0
Modrić,74.4,45.7,93.4,10.1,0
Modrić,80.1,73.7,99.4,69.8,0
Modrić,51.2,78.1,92.7,76.2,0
Modrić,28.0,23.0,82.5,20.8,0
Kimmich,86.6,75.0,108.2,42.4,1
Kimmich,27.5,59.0,49.0,56.4,0
Kimmich,51.2,77.0,110.4,77.6,0
Kimmich,40.6,29.8,94.1,21.1,0
Kimmich,44.8,21.1,77.6,4.0,0
Kimmich,53.3,38.3,70.6,25.5,0
Kimmich,54.3,50.5,94.5,51.2,0
Kimmich,89.0,60.9,104.6,68.0,0
Kimmich,50.6,25.2,66.3,4.3,0
Kimmich,40.9,35.8,56.2,4.6,0
Kimmich,78.9,15.3,94.4,3.8,0
Kimmich,114.7,65.2,113.8,44.1,1
Kimmich,54.5,40.2,70.1,69.8,0
Kimmich,76.8,48.6,82.6,12.4,0
Kimmich,96.3,32.9,106.2,44.1,1
Kimmich,71.1,27.9,82.3,22.1,0
Kimmich,39.9,53.3,78.4,2.0,0
Kimmich,35.0,27.5,59.4,5.0,0
Kimmich,56.1,40.8,83.0,59.3,0
Kimmich,74.6,30.5,90.6,20.2,0
Kimmich,70.3,38.4,84.4,5.6,0
Kimmich,79.5,37.0,81.7,14.8,0
Kimmich,78.7,62.0,84.6,59.3,0
Kimmich,82.2,49.8,113.7,33.0,1
Kimmich,54.2,34.1,78.7,11.3,0
Kimmich,76.2,42.7,88.2,71.2,0
Kimmich,76.2,34.1,89.3,24.3,0
Kimmich,74.6,35.4,109.1,56.6,1
Kimmich,58.9,54.7,99.8,25.4,0
Kimmich,58.3,41.1,86.5,70.7,0
Pedri,86.7,23.1,112.4,45.9,1
Pedri,87.6,24.5,110.9,21.7,1
Pedri,94.5,33.9,102.5,40.7,1
Pedri,73.7,37.3,81.9,56.2,0
Pedri,66.5,22.2,87.4,7.7,0
Pedri,40.9,20.1,64.5,45.1,0
Pedri,75.9,27.0,81.6,35.4,0
Pedri,75.2,29.8,81.6,50.5,0
Pedri,70.2,32.7,84.1,5.5,0
Pedri,56.7,24.3,75.5,3.4,0
Pedri,74.7,33.9,93.5,4.3,0
Pedri,75.3,12.5,81.0,3.2,0
Pedri,74.5,30.6,81.4,36.6,0
Pedri,69.8,26.3,81.4,25.6,0
Pedri,94.7,39.8,105.6,31.5,1
Pedri,26.8,27.7,47.0,66.4,0
Pedri,78.6,25.3,88.5,5.1,0
Pedri,73.2,5.8,85.1,1.6,0
Modrić,120.0,0.1,116.3,20.4,1
Modrić,70.2,65.1,80.9,75.3,0
Modrić,73.2,70.1,81.1,49.9,0
Modrić,76.9,40.3,82.5,34.3,0
Modrić,42.9,74.8,63.9,77.1,0
Modrić,112.4,58.7,108.2,42.1,1
Modrić,77.5,34.3,80.4,9.3,0
Modrić,71.0,61.4,87.3,76.9,0
Modrić,112.8,77.5,115.1,46.8,1
Modrić,50.3,70.3,69.1,79.5,0
Modrić,57.2,65.8,85.6,79.1,0
Modrić,114.9,5.7,103.1,48.9,1
Modrić,40.0,45.3,58.7,8.9,0
Modrić,49.9,23.7,68.7,14.3,0
Modrić,56.5,61.1,104.2,56.9,1
Modrić,77.0,74.6,96.9,78.9,0
Modrić,57.2,56.4,76.6,8.1,0
Modrić,46.2,53.4,76.8,57.1,0
Modrić,73.2,59.8,85.6,64.1,0
Modrić,74.5,29.1,109.4,61.6,1
Modrić,120.0,0.1,116.7,31.0,1
Modrić,51.0,34.6,72.0,1.8,0
